Date;1st Doses of Vaccine 1;2nd Doses of Vaccine 1;1st Doses of Vaccine 2;2nd Doses of Vaccine 2;1st Doses of Vaccine 3;2nd Doses of Vaccine 3;1st Doses of Vaccine 4;2nd Doses of Vaccine 4;
19-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
19-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
19-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
19-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
19-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
19-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
20-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
20-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
20-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
20-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
20-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
20-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
21-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
21-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
21-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
21-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
21-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
21-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
22-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
22-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
22-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
22-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
22-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
22-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
23-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
23-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
23-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
23-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
23-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
23-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
26-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
26-Jan-2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
